position,temperature,humidity,moisture,time,createdAt,updatedAt,__v
Malabe,28.9,75,1507,2025-04-08 18:02:44.271,2025-04-08 18:02:44.275,2025-04-08 18:02:44.275,0
Malabe,28.9,76,1511,2025-04-08 18:07:51.950,2025-04-08 18:07:51.954,2025-04-08 18:07:51.954,0
Malabe,28.9,76,1527,2025-04-08 18:12:56.478,2025-04-08 18:12:56.479,2025-04-08 18:12:56.479,0
Malabe,28.9,77,1492,2025-04-08 18:18:00.122,2025-04-08 18:18:00.122,2025-04-08 18:18:00.122,0
Malabe,28.9,78,1527,2025-04-08 18:23:03.770,2025-04-08 18:23:03.770,2025-04-08 18:23:03.770,0
Malabe,28.9,79,1488,2025-04-08 18:28:07.155,2025-04-08 18:28:07.156,2025-04-08 18:28:07.156,0
Malabe,28.9,80,1487,2025-04-08 18:33:12.408,2025-04-08 18:33:12.408,2025-04-08 18:33:12.408,0
Malabe,28.9,80,1479,2025-04-08 18:38:15.908,2025-04-08 18:38:15.909,2025-04-08 18:38:15.909,0
Malabe,28.9,81,1477,2025-04-08 18:43:19.330,2025-04-08 18:43:19.331,2025-04-08 18:43:19.331,0
Malabe,28.9,82,1477,2025-04-08 18:48:22.735,2025-04-08 18:48:22.736,2025-04-08 18:48:22.736,0
Malabe,28.9,82,1520,2025-04-08 18:53:26.446,2025-04-08 18:53:26.446,2025-04-08 18:53:26.446,0
Malabe,28.9,84,1517,2025-04-08 18:58:29.973,2025-04-08 18:58:29.973,2025-04-08 18:58:29.973,0
Malabe,28.9,84,1511,2025-04-08 19:03:37.020,2025-04-08 19:03:37.024,2025-04-08 19:03:37.024,0
Malabe,28.9,84,1476,2025-04-08 19:08:44.890,2025-04-08 19:08:44.894,2025-04-08 19:08:44.894,0
Malabe,28.9,84,1472,2025-04-08 19:13:49.121,2025-04-08 19:13:49.122,2025-04-08 19:13:49.122,0
Malabe,28.9,84,1511,2025-04-08 19:18:52.601,2025-04-08 19:18:52.602,2025-04-08 19:18:52.602,0
Malabe,28.9,84,1487,2025-04-08 19:23:56.173,2025-04-08 19:23:56.174,2025-04-08 19:23:56.174,0
Malabe,28.9,83,1498,2025-04-08 19:34:10.759,2025-04-08 19:34:10.763,2025-04-08 19:34:10.763,0
Malabe,28.9,83,1527,2025-04-08 19:39:15.292,2025-04-08 19:39:15.292,2025-04-08 19:39:15.292,0
Malabe,28.6,83,1491,2025-04-08 19:44:18.828,2025-04-08 19:44:18.829,2025-04-08 19:44:18.829,0
Malabe,28.9,83,1469,2025-04-08 19:49:22.358,2025-04-08 19:49:22.359,2025-04-08 19:49:22.359,0
Malabe,28.9,84,1489,2025-04-08 19:59:36.848,2025-04-08 19:59:36.852,2025-04-08 19:59:36.852,0
Malabe,28.9,84,1486,2025-04-08 20:04:45.153,2025-04-08 20:04:45.165,2025-04-08 20:04:45.165,0
Malabe,28.9,83,1507,2025-04-08 20:09:52.920,2025-04-08 20:09:52.923,2025-04-08 20:09:52.923,0
Malabe,28.9,83,1503,2025-04-08 20:14:57.311,2025-04-08 20:14:57.312,2025-04-08 20:14:57.312,0
Malabe,28.9,83,1481,2025-04-08 20:20:00.788,2025-04-08 20:20:00.789,2025-04-08 20:20:00.789,0
Malabe,28.9,83,1488,2025-04-08 20:25:04.364,2025-04-08 20:25:04.364,2025-04-08 20:25:04.364,0
Malabe,28.9,83,1491,2025-04-08 20:30:07.759,2025-04-08 20:30:07.759,2025-04-08 20:30:07.759,0
Malabe,28.9,83,1478,2025-04-08 20:35:11.269,2025-04-08 20:35:11.269,2025-04-08 20:35:11.269,0
Malabe,28.5,81,1520,2025-04-08 20:40:14.697,2025-04-08 20:40:14.697,2025-04-08 20:40:14.697,0
Malabe,28.5,82,1521,2025-04-08 20:45:18.189,2025-04-08 20:45:18.189,2025-04-08 20:45:18.189,0
Malabe,28.5,83,1523,2025-04-08 20:50:21.713,2025-04-08 20:50:21.713,2025-04-08 20:50:21.713,0
Malabe,28.5,84,1499,2025-04-08 20:55:25.235,2025-04-08 20:55:25.235,2025-04-08 20:55:25.235,0
Malabe,28.9,84,1520,2025-04-08 21:00:32.452,2025-04-08 21:00:32.465,2025-04-08 21:00:32.465,0
Malabe,28.9,83,1495,2025-04-08 21:05:40.133,2025-04-08 21:05:40.145,2025-04-08 21:05:40.145,0
Malabe,28.9,84,1499,2025-04-08 21:10:44.310,2025-04-08 21:10:44.311,2025-04-08 21:10:44.311,0
Malabe,28.9,84,1488,2025-04-08 21:15:47.765,2025-04-08 21:15:47.765,2025-04-08 21:15:47.765,0
Malabe,28.9,84,1488,2025-04-08 21:20:51.228,2025-04-08 21:20:51.228,2025-04-08 21:20:51.228,0
Malabe,28.9,84,1520,2025-04-08 21:25:54.607,2025-04-08 21:25:54.608,2025-04-08 21:25:54.608,0
Malabe,28.9,84,1534,2025-04-08 21:30:58.031,2025-04-08 21:30:58.031,2025-04-08 21:30:58.031,0
Malabe,28.9,84,1485,2025-04-08 21:36:01.449,2025-04-08 21:36:01.449,2025-04-08 21:36:01.449,0
Malabe,28.9,84,1510,2025-04-08 21:41:04.848,2025-04-08 21:41:04.848,2025-04-08 21:41:04.848,0
Malabe,28.9,84,1535,2025-04-08 21:46:08.379,2025-04-08 21:46:08.380,2025-04-08 21:46:08.380,0
Malabe,28.9,84,1486,2025-04-08 21:51:11.887,2025-04-08 21:51:11.887,2025-04-08 21:51:11.887,0
Malabe,28.9,84,1532,2025-04-08 21:56:15.422,2025-04-08 21:56:15.422,2025-04-08 21:56:15.422,0
Malabe,28.9,84,1522,2025-04-08 22:01:18.900,2025-04-08 22:01:18.900,2025-04-08 22:01:18.900,0
Malabe,28.9,84,1498,2025-04-08 22:06:22.332,2025-04-08 22:06:22.332,2025-04-08 22:06:22.332,0
Malabe,28.9,84,1534,2025-04-08 22:11:25.729,2025-04-08 22:11:25.729,2025-04-08 22:11:25.729,0
Malabe,28.9,84,1491,2025-04-08 22:16:33.088,2025-04-08 22:16:33.092,2025-04-08 22:16:33.092,0
Malabe,28.9,84,1499,2025-04-08 22:21:40.569,2025-04-08 22:21:40.572,2025-04-08 22:21:40.572,0
Malabe,28.9,84,1498,2025-04-08 22:26:45.179,2025-04-08 22:26:45.179,2025-04-08 22:26:45.179,0
Malabe,28.9,84,1524,2025-04-08 22:31:48.799,2025-04-08 22:31:48.800,2025-04-08 22:31:48.800,0
Malabe,28.9,83,1499,2025-04-08 22:36:53.055,2025-04-08 22:36:53.056,2025-04-08 22:36:53.056,0
Malabe,28.9,83,1483,2025-04-08 22:41:56.450,2025-04-08 22:41:56.450,2025-04-08 22:41:56.450,0
Malabe,28.9,84,1530,2025-04-08 22:46:59.990,2025-04-08 22:46:59.990,2025-04-08 22:46:59.990,0
Malabe,28.9,84,1520,2025-04-08 22:52:03.587,2025-04-08 22:52:03.588,2025-04-08 22:52:03.588,0
Malabe,28.9,84,1527,2025-04-08 22:57:07.101,2025-04-08 22:57:07.102,2025-04-08 22:57:07.102,0
Malabe,28.9,85,1535,2025-04-08 23:02:10.705,2025-04-08 23:02:10.705,2025-04-08 23:02:10.705,0
Malabe,28.9,85,1525,2025-04-08 23:07:14.331,2025-04-08 23:07:14.332,2025-04-08 23:07:14.332,0
